player_id,inducted,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
fletcel01,0,1415,4879,723,1323,228,58,79,616,32,0,851,495,1949
fletcsc01,0,1612,5258,688,1376,243,38,34,510,99,58,514,541,1995
flickel01,1,1483,5597,950,1752,268,164,48,756,330,0,597,0,1910
flintsi01,0,760,2913,380,687,129,34,21,295,12,0,54,471,1889
floodcu01,0,1759,6357,851,1861,271,44,85,636,88,73,444,609,1971
floweja01,0,583,1693,229,433,75,18,16,201,58,2,190,139,1934
flynndo01,0,1309,3853,288,918,115,39,7,284,20,20,151,320,1985
foileha01,0,608,1455,171,353,59,10,46,166,3,7,170,295,1964
foleyto02,0,1108,2708,248,661,134,20,32,263,32,29,232,387,1995
foleywi01,0,253,982,112,224,23,10,0,76,0,0,20,62,1884
foliti01,0,1696,6047,576,1515,241,20,25,501,81,55,265,399,1985
fonsele01,0,937,3404,518,1075,203,50,31,485,64,36,186,199,1933
footeba01,0,687,2127,191,489,103,10,57,230,10,6,136,287,1982
forceda01,0,1029,4251,653,1060,141,27,1,373,33,5,156,267,1886
fordda01,0,1153,4163,598,1123,214,38,121,566,61,37,303,722,1985
fordho01,0,1446,4833,484,1269,200,55,16,494,21,28,351,354,1933
fordwh01,1,500,1023,91,177,19,0,3,69,3,2,113,224,1967
foremfr01,0,243,754,104,169,23,15,9,73,18,0,62,109,1902
fornimi01,0,440,308,25,52,7,1,1,16,1,0,3,63,1963
forscbo01,0,509,893,77,190,45,8,12,84,3,1,27,249,1989
forscke01,0,521,383,16,52,6,0,0,17,1,0,16,163,1986
forstte01,0,620,78,7,31,4,1,0,7,1,0,2,9,1986
fossato01,0,567,1,0,0,0,0,0,0,0,0,0,0,1999
fossera01,0,924,2957,299,758,117,13,61,324,15,19,203,363,1979
fosteal01,0,225,295,17,35,2,0,0,17,0,0,16,84,1976
fosteed02,0,1500,5652,732,1490,191,71,6,451,195,53,528,255,1923
fostege01,0,1977,7023,986,1925,307,47,348,1239,51,31,666,1419,1986
fothebo01,0,1106,3269,453,1064,225,52,36,582,42,52,202,177,1933
fournja01,0,1530,5208,822,1631,252,113,136,859,145,94,587,408,1927
foutzda01,0,1135,4533,784,1253,186,91,31,749,280,0,300,136,1896
fowlear01,0,362,231,16,35,1,0,0,20,0,0,23,62,1964
fowledi01,0,226,472,22,88,10,1,1,32,0,2,15,69,1952
foxho01,0,253,349,29,66,11,0,2,25,1,0,9,47,1954
foxne01,1,2367,9232,1279,2663,355,112,35,790,76,80,719,216,1965
foxpe01,0,1461,5636,895,1678,314,75,65,694,158,81,392,471,1945
foxxji01,1,2317,8134,1751,2646,458,125,534,1922,87,72,1452,1311,1945
foytapa01,0,314,461,34,82,7,0,1,35,1,1,25,126,1964
francte01,0,708,1731,163,474,74,6,16,143,12,12,65,119,1990
francti01,0,1719,5121,650,1395,224,34,125,656,46,21,544,694,1970
frankfr02,0,421,636,72,132,22,1,1,58,1,0,38,65,1939
frankhe01,0,188,403,35,80,18,2,3,43,2,0,57,37,1949
frasech01,0,458,1316,134,235,34,13,3,96,19,0,81,34,1909
frasewi01,0,239,4,0,0,0,0,0,0,0,0,0,2,1995
frazige01,0,415,21,0,3,0,0,0,0,0,1,0,8,1987
frazijo01,0,217,282,31,68,15,2,10,45,0,1,35,46,1956
freedro01,0,344,717,49,176,27,2,22,109,1,4,95,166,1979
freehbi01,0,1774,6073,706,1591,241,35,200,758,24,21,626,753,1976
freembu01,0,1126,4208,588,1235,199,131,82,713,92,0,272,2,1907
freemma02,0,221,140,11,16,1,0,2,7,0,0,4,83,1996
freesge02,0,1115,3446,429,877,161,28,115,432,51,26,243,535,1966
fregoji01,0,1902,6523,844,1726,264,78,151,706,76,40,715,1097,1978
frencla01,0,570,1057,83,199,27,5,1,84,3,0,48,210,1942
freylo01,0,1535,5517,848,1482,263,69,61,549,105,0,752,525,1948
fribebe01,0,1299,4169,544,1170,181,44,38,471,51,60,471,498,1933
frienbo01,0,602,1137,56,138,16,2,2,60,0,0,38,375,1966
friscfr01,1,2311,9112,1532,2880,466,138,105,1244,419,74,728,272,1937
friseda01,0,351,78,3,14,1,0,0,4,2,0,4,25,1976
frohwto01,0,284,2,0,0,0,0,0,0,0,0,0,2,1996
frommar01,0,252,476,32,77,11,5,0,21,1,0,12,59,1915
fryeje01,0,667,2155,316,626,135,11,16,194,56,25,212,279,2001
frymatr01,0,1698,6481,895,1776,345,40,223,1022,72,38,602,1369,2002
frymawo01,0,625,609,22,84,6,0,2,25,1,0,14,177,1983
fuentti01,0,1499,5566,610,1491,211,46,45,438,80,47,298,561,1978
fullecu01,0,115,110,9,20,2,1,0,6,0,0,15,26,1933
fulmech01,0,583,2440,360,636,70,30,8,261,14,8,42,66,1884
furilca01,0,1806,6378,895,1910,324,56,192,1058,48,26,514,436,1960
